Smiles,PIC50
CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,5.292429824
O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1ccc(O)cc1O,5.301029996
CCCCCC(=O)/C=C/C=C\CCCCCCCC(=O)O,4
CC1(C)CCC[C@]2(C)[C@H]3C(=O)c4c(cccc4C(=O)O)O[C@@]3(C)CC[C@@H]12,3.823908741
COc1cc(Br)cc(Br)c1Oc1cc(Br)cc(Br)c1O,5
CC(C)=CCC/C(C)=C/COc1cccc2ccc(=O)oc12,4.403402904
Oc1c(Br)cc(Br)cc1Oc1c(O)c(Br)c(Br)c(Br)c1Br,5.886056648
COc1ccc(-c2cc3cc4c(=O)c(C=O)coc4cc3o2)cc1,5.017728767
O=C(Nc1ccc(F)cc1Cl)c1n[nH]cc1Cl,7.070581074
O=C(Nc1ccc(F)cc1Cl)c1n[nH]cc1Cl,7.48148606
O=C(Nc1ccc(F)cn1)c1cc[nH]n1,6.928117993
COc1c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C,4.301029996
CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,5.30980392
CCOC(=O)C1CCN(C(=O)CCc2cc(-c3ccc(C)cc3)n(-c3ccc4ccccc4n3)n2)CC1,5
Nc1[nH]c(C(=O)c2ccccc2)c(-c2ccc(Cl)cc2Cl)c1C(=O)c1cccc(F)c1,4
Nc1[nH]c(C(=O)c2ccccc2)cc1C(=O)c1ccc(Cl)c(Cl)c1,4.442492798
NC(=O)c1c(N)[nH]c(C(=O)c2ccccc2)c1-c1ccc(Cl)cc1Cl,4
O=C1CCN(c2ccccc2)N1,5.657577319
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C=O,5.522878745
CCc1cc(O)c(O)cc1C[C@@H](C)[C@@H](C)Cc1cc(O)c(O)cc1CC,6.795880017
O=C(OCC#CCSc1nnc(-c2cccc3ccccc23)o1)c1ccc2ccccc2c1,6.698970004
O=C(OCC#CCSc1nnc(-c2cccc3ccccc23)o1)c1ccc2ccccc2c1,7.187086643
CCCCCC(=O)/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O,4.602059991
CC(=O)Nc1oc(-c2cccc3ccccc23)nc1C#N,5
CC(C)Nc1oc(-c2cccc3ccccc23)nc1C#N,4.397940009
CC(C)(C)c1oc2ccccc2c(=O)c1O,4
CCCc1oc2ccccc2c(=O)c1O,4
CCc1oc2ccccc2c(=O)c1O,4
CC(C)Cc1cc(=O)c2ccc(O)cc2o1,4
CC(C)c1cc(=O)c2ccc(O)cc2o1,4
CCCCNC(=O)c1c(N)sc(-c2ccc(Cl)cc2)c1CCCC,4.301029996
CCCCNC(=O)c1cc(C)sc1N,4.301029996
COc1ccc(-c2cc(-c3ccccc3O)[nH]n2)cc1,5
CC(C)c1cc(=O)c2cc(O)ccc2o1,4
O=C(Nc1ccc(F)cc1Cl)c1n[nH]c(Cl)c1Cl,7.494850022
COc1ccc(-c2nnc(/N=C3\NC(=O)CS3)s2)cc1OC,5.595166283
O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1cccc(Cl)c1O,5.920818754
O=C(O)c1cccc(C(=O)Nc2ccc(CCc3ccc(O)c(O)c3)cc2)c1O,4.602059991
Nc1[nH]c(C(=O)c2ccccc2)c(-c2ccc(Cl)cc2)c1C(=O)c1cccc(Cl)c1,4
Nc1[nH]c(C(=O)c2ccccc2)c(-c2ccc(Cl)cc2Cl)c1C(=O)c1cccs1,4
Nc1[nH]c(C(=O)c2ccccc2)c(-c2ccc(Cl)c(Cl)c2)c1C(=O)c1cccc(Cl)c1,4.447331784
Nc1[nH]c(C(=O)c2ccccc2)c(-c2ccc(Cl)cc2Cl)c1C(=O)c1ccc(Cl)cc1,4
CC1=CCCC(C)(C)C1CC/C(C)=C/CCC(CO)CCCc1ccoc1,4.769551079
O=C(Nc1ccc(F)cc1Cl)c1cc[nH]n1,7.091514981
O=C(Nc1ccc(F)cc1Cl)c1n[nH]cc1Br,7.408935393
O=C(Nc1ccc(F)cc1Cl)c1n[nH]c(Cl)c1Br,9
O=C(Nc1ccc(F)cc1Cl)c1cc(I)[nH]n1,6.823908741
Cc1c(C(=O)Nc2ccc(F)cc2Cl)n[nH]c1[Si](C)(C)C,5.876148359
Fc1ccc2oc(-c3cc[nH]n3)nc2c1,4.652865217
O=C(Nc1ccc(F)cc1Cl)c1ccn(C(=S)Nc2ccc3c(c2)OCO3)n1,7.769551079
O=C(Nc1ccccc1Cl)c1cn[nH]n1,6.406713933
O=C(Nc1cc(Cl)ccc1Cl)c1cn[nH]n1,4.647238808
O=C(Nc1ccc(F)cc1Cl)c1n[nH]c(Cl)c1Br,8
O=C(Nc1ccc(F)cc1Cl)c1cc[nH]n1,7.619788758
Cc1ccc(C(=O)N(C)c2ccc(CCc3ccc(O)c(O)c3)cc2)c(O)c1,5.301029996
CC1=C(CC/C(C)=C/CC/C(C)=C/Cc2cc(O)ccc2O)C(C)(C)CCC1,6.522878745
CC(=O)c1cc(O)c(O)cc1C[C@@H](C)[C@@H](C)Cc1cc(O)c(O)cc1C(C)=O,6.420216403
CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1ccc(C(C)(C)C)c(OC[C@@H](O)[C@H](O)CO)c1C(C)(C)C,4.823908741
COc1cc(C)cc2c(-c3c(O)cc(O)c4c3C[C@@H](C)N[C@@H]4C)cc(-c3ccc4c(-c5c(O)cc(O)c6c5C[C@@H](C)N[C@@H]6C)c(C)cc(OC)c4c3O)c(O)c12,5.119186408
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(=O)C[C@H](C)CCCC(C)C,6.522878745
CCCCCCCCCCCC(=O)c1c(C(=O)OCC)[nH]c2cc(Cl)ccc12,6.366531544
CCCCCCCC(=O)c1c(C(=O)OCC)[nH]c2cc(Cl)ccc12,6.568636236
CCCCCC(=O)c1c(C(=O)OCC)[nH]c2cc(Cl)ccc12,6.26760624
O=C(Nc1ccc(Cl)cn1)c1cc[nH]n1,7.585026652
O=C(Nc1ccc2ncccc2c1)c1cc[nH]n1,6.013228266
